Kadokawa Shoten, 1618
KSS, 1620
Tokyo Movie Shinsha, 1620
Aniplex, 1622
SME Visual Works, 1622
AT-X, 1628
Dynamic Planning, 1628
KSS, 1630
Discovery, 1632
Pink Pineapple, 1634
Silky’s, 1634
NuTech Digital, 1634
Pink Pineapple, 1636
Fuji TV, 1638
TV Tokyo Music, 1642
Front Line, 1644
AC Create, 1644
Cosmic Ray, 1644
BEAM Entertainment, 1644
NichiNare, 1644
Media Factory, 1648
KlockWorx, 1648
Toshiba Entertainment, 1648
Tohokushinsha Film Corporation, 1650
Academy Productions, 1650
Yomiuri Advertising, 1650
Yomiuri Telecasting, 1652
Academy Productions, 1652
Bandai Visual, 1654
Lantis, 1654
Shogakukan Productions, 1658
Toho, 1658
Pony Canyon, 1660
TV Asahi, 1666
d-rights, 1668
Yomiko Advertising, 1670
d-rights, 1670
Nagoya TV Housou, 1672
Nihon Ad Systems, 1674
Fuji TV, 1674
Studio Jack, 1674
AT-X, 1676
TV Tokyo, 1678
Avex Entertainment, 1678
Alchemist, 1682
Genco, 1684
Animax, 1684
TV Tokyo, 1686
Dentsu, 1686
Shueisha, 1686
Sotsu Music Publishing, 1690
Rikuentai, 1692
Marvelous, 1696
Dentsu, 1698
Genco, 1698
Kodansha, 1698
Fuji TV, 1698
Magic Capsule, 1698
Sony Music Entertainment, 1698
Fuji Pacific Music Publishing, 1698
Green Bunny, 1702
Bandai Visual, 1704
TV Tokyo, 1706
Vega Entertainment, 1706
Magic Bus, 1708
Dynamic Planning, 1708
TV Tokyo, 1710
Shogakukan Productions, 1710
Nihon Ad Systems, 1710
Half H.P Studio, 1710
Plum, 1712
Broccoli, 1718
Chaos Project, 1720
Square Enix, 1722
Konami, 1724
